"Title","Couleur_Piece","Categorie_Piece","Fournisseur_Piece","Unite_Piece","Code_Piece","Description_Piece","Inventaire_Piece","Prix_Piece","Emplacement","InventaireEmplacement1","PartiPeinture","PointCommande","Emplacement2","InventaireEmplacement2","PiecePeinte","Code_Piece_NonPeinte","DateDerniereTransaction","Achat_fait"
"118","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998497NO","Poteau 3"" Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"119","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998498AR","Planche Argile",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"120","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998498BC","Planche Brun commercial",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"121","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998498BL","Planche Blanc",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"122","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998498GC","Planche Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"123","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998498NO","Planche Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"125",,"Équerres","Les Attaches Viscan","Boîte","Équerre pour Fibre","Équerre pour Fibre","1",,"Magasin","1",,,,,"False",,,"False"
"126",,"Vis","Les Attaches Viscan","Boîte","Vis équerre fibre","Vis pour équerre fibre","1",,"Magasin","1",,,,,"False",,,"False"
"127",,"Vis","Les Attaches Viscan","Boîte de 100","VS30.1415.V+","Vis noire #14 x 1 1/2""","10",,"Magasin","10",,"0",,"0","False",,,"False"
"128",,"Vis","Les Attaches Viscan","Boîe de 300","VS26.1827","Tire fond HEX SS18,8 1/4 x 4""","2",,"Magasin","2",,"1",,"0","False",,,"False"
"129",,"Barrière","Boulet Lemelin","Unité","PGondG","Penture à gond gauche","0",,"Magasin","0",,"2",,"0","False",,,"False"
"130",,"Barrière","Boulet Lemelin","Unité","PGondD","Penture à gond droite","0",,"Magasin","0",,"2",,"0","False",,,"False"
"131","Gris métallique","Bases et caps","Peinture Industrielle DJ Inc","Unité","BGARD-175VDCGM","Base 1 3/4"" Gris métallique","360",,"Magasin","360",,"250",,"0","Vrai","BGARD-175VDCNP",,"False"
"132","Gris métallique","Bases et caps","Peinture Industrielle DJ Inc","Unité","CGARD-175DCGM","Cap 1 3/4 Gris métallique","0",,"Magasin","0","0","150",,"0","Vrai","CGARD-175DCNP",,"False"
"133","Non-Peinte","Base barrotin","Metra Aluminium Inc.","Unité","BBARRO-3/4-NP","Base de barrotin 3/4 Non-Peinte","17,473",,"Magasin","17,473","0",,,"0","False",,,"False"
"134","Gris métallique","Base barrotin","Peinture Industrielle DJ Inc","Paquet de 25","BBARRO-3/4-GM","Base de barrotin 3/4"" Gris métallique","4",,"Magasin","4",,,,,"Vrai","BBARRO-3/4-NP",,"False"
"135","Brun commercial","Base barrotin","Série act peinture inc.","Paquet de 25","BBARRO-3/4-BC","Base de barrotin 3/4"" Brun commercial","9",,"Magasin","9","0",,,"0","Vrai","BBARRO-3/4-NP",,"False"
"136","Blanc","Base barrotin","Série act peinture inc.","Paquet de 25","BBARRO-3/4-BL","Base de barrotin 3/4"" Blanc","26",,"Magasin","26","0",,,"0","Vrai","BBARRO-3/4-NP",,"False"
"137","Noir","Base barrotin","Série act peinture inc.","Paquet de 25","BBARRO-3/4-NO","Base de barrotin 3/4"" Noir","73",,"Magasin","73","0",,,"0","Vrai","BBARRO-3/4-NP",,"False"
"138","Charbon","Base barrotin","Série act peinture inc.","Paquet de 25","BBARRO-3/4-CH","Base de barrotin 3/4"" Charbon","6",,"Magasin","6",,,,"0","Vrai","BBARRO-3/4-NP",,"False"
"139","Argile","Base barrotin","Série act peinture inc.","Paquet de 25","BBARRO-3/4-AR","Base de barrotin 3/4"" Argile","8",,"Magasin","8",,,,"0","Vrai","BBARRO-3/4-NP",,"False"
"140","Brun commercial","Capsule","Les Métaux Pressés Québec inc.","Boîte de 500","Capsule-BR","Capsule Brun commercial","16",,"Magasin","16",,"6",,"0","False",,,"False"
"141","Blanc","Capsule","Les Métaux Pressés Québec inc.","Boîte de 500","Capsule-BL","Capsule Blanche","23",,"Magasin","23",,"6",,"0","False",,,"Vrai"
"142","Noir","Capsule","Les Métaux Pressés Québec inc.","Boîte de 500","Capsule-NO","Capsule Noire","39",,"Magasin","39",,"12",,"0","False",,,"False"
"143","Charbon","Capsule","Les Métaux Pressés Québec inc.","Boîte de 500","Capsule-CH","Capsule Charbon","1",,"Magasin","1",,"6",,"0","False",,,"False"
"144","Argile","Capsule","Les Métaux Pressés Québec inc.","Boîte de 500","Capsule-AR","Capsule Argile","3",,"Magasin","3",,"6",,"0","False",,,"False"
"145","Gris métallique","Capsule","Les Métaux Pressés Québec inc.","Boîte de 500","Capsule-GM","Capsule Gris métallique","13",,"Magasin","13",,"6",,"0","False",,,"False"
"146","Non-Peinte","Embout","Fonderie Fondalco inc.","Unité","CMCG-200-NP","Embout de main urbaine Non-Peinte","299",,"Magasin","299","0","500",,"0","False",,,"False"
"147","Gris métallique","Embout","Peinture Industrielle DJ Inc","Unité","CMCG-200-GM","Embout de main urbaine Gris métallique","20",,"Magasin","20","0","250",,"0","Vrai","CMCG-200-NP",,"False"
"148","Brun commercial","Embout","Fonderie Fondalco inc.","Unité","CMCG-200-BR","Embout de main urbaine brun commercial","382",,"Magasin","382","0","50",,"0","Vrai","CMCG-200-NP",,"False"
"149","Blanc","Embout","Fonderie Fondalco inc.","Unité","CMCG-200-BL","Embout de main urbaine blanc","351",,"Magasin","351","0","200",,"0","Vrai","CMCG-200-NP",,"False"
"150","Noir","Embout","Fonderie Fondalco inc.","Unité","CMCG-200-NO","Embout de main urbaine noir","16",,"Magasin","16","0","350",,"0","Vrai","CMCG-200-NP",,"False"
"151","Charbon","Embout","Fonderie Fondalco inc.","Unité","CMCG-200-CH","Embout de main urbaine Charbon","86",,"Magasin","86","0","50",,"0","Vrai","CMCG-200-NP",,"False"
"152","Argile","Embout","Fonderie Fondalco inc.","Unité","CMCG-200-AR","Embout de main urbaine Argile","31",,"Magasin","31",,"30",,,"Vrai","CMCG-200-NP",,"False"
"153","Brun commercial","Embout","Fonderie Fondalco inc.","Unité","01-004-BOUT-BR","Embout de main classique Brun commercial","23",,"Magasin","23","0","10",,"0","Vrai","01-004-BOUT-NP",,"False"
"154","Blanc","Embout","Fonderie Fondalco inc.","Unité","01-004-BOUT-BL","Embout de main classique Blanc","42",,"Magasin","42",,"20",,"0","Vrai","01-004-BOUT-NP",,"False"
"155","Noir","Embout","Fonderie Fondalco inc.","Unité","01-004-BOUT-NO","Embout de main classique Noir","0",,"Magasin","0",,"10",,"0","Vrai","01-004-BOUT-NP",,"False"
"156","Charbon","Embout","Fonderie Fondalco inc.","Unité","01-004-BOUT-CH","Embout de main classique Charbon","19",,"Magasin","19","0","5",,"0","Vrai","01-004-BOUT-NP",,"False"
"157","Argile","Embout","Fonderie Fondalco inc.","Unité","01-004-BOUT-AR","Embout de main classique Argile","28",,"Magasin","28",,"10",,,"Vrai","01-004-BOUT-NP",,"False"
